Boeing Model 40	Boeing aircraft
Wolf Blitzer	1948 births, Living people, American television news anchors, CNN people, Entertainers from Bavaria, German Jews, Hebrew University of Jerusalem alumni, Jewish American entertainers, Jewish American writers, Johns Hopkins University alumni, Journalists from New York, Naturalized citizens of the United States, People from Augsburg, Writers from Buffalo, New York, Television personalities from New York, Writers from Bavaria
Robert W. Edgar	1943 births, Deaths from myocardial infarction, United States representatives from Pennsylvania, US Democratic Party politicians, Politicians from Philadelphia, Pennsylvania, Living people
Sports agent	Sports occupations
Mario Cuomo	1932 births, 2015 deaths, American Roman Catholics, Cardiovascular disease deaths in New York City, Deaths from heart failure, Governors of New York, Lieutenant Governors of New York (state), Politicians from New York City, US Democratic Party politicians
Memorial for the Jewish Soldiers in the Polish army in World War II	Monuments and memorials in Mount Herzl, World War II memorials in Israel
Memorial for the Jewish Soldiers in the Soviet army in World War II	Monuments and memorials in Mount Herzl, World War II memorials in Israel
WHDH	American television stations, Boston, Massachusetts, 1948 establishments in the United States, 1940s establishments in Massachusetts
Lawrence Welk	1903 births, 1992 deaths, American Roman Catholics, People from Los Angeles, California, Deaths from bronchopneumonia, Singers from North Dakota, Actors from North Dakota, Musicians from North Dakota
Reuben	Old Testament people, Ancient Israeli people
Super Monkey Ball	2001 video games, Platform games, Sega arcade games, Nintendo GameCube games
Prudence Crandall	American teachers, 1803 births, 1890 deaths, American abolitionists, Civil rights activists, Politicians from Rhode Island, People from Providence, Rhode Island
Nicko McBrain	1952 births, Living people, Converts to Christianity, English Christians, English drummers, Heavy metal musicians, Iron Maiden, Musicians from London
Kataklysm	1990s music groups, 1991 establishments in Canada, 2000s music groups, 2010s music groups, Canadian death metal bands, People from Montreal
America's Next Top Model, Cycle 4	America's Next Top Model
William Bradford (Mayflower passenger)	1590 births, 1657 deaths, Mayflower passengers
Homeless Bird	Young adult novels, 2000 books
Anne Hutchinson	1643 deaths, 1590s births, Christian theologians, American Christians, People from Boston, Massachusetts
Matariki Network of Universities	Colleges and universities, 2010 establishments, New Zealand
Johann Bernoulli	Swiss mathematicians, 1667 births, 1748 deaths, People from Basel
Sant Ravidas Nagar district	Districts of Uttar Pradesh
Sonbhadra district	Districts of Uttar Pradesh
Rampur district	Districts of Uttar Pradesh
Amroha district	Districts of Uttar Pradesh
Bijnor district	Districts of Uttar Pradesh
Jaunpur district	Districts of Uttar Pradesh
Chandauli district	Districts of Uttar Pradesh
Varanasi district	Varanasi district
Central Cross-Island Highway	Roads, Transport in Taiwan
Azorina vidalii	Campanulaceae
Mars in fiction	Mars, Science fiction, Fantasy
Chang Gung University	Colleges and universities in Taiwan, 1987 establishments in Asia, 1980s establishments in Taiwan
University of Otago	Colleges and universities in Oceania, New Zealand, 1869 establishments, 1860s establishments in New Zealand
Moradabad district	Moradabad district
Woody Island (South China Sea)	Islands of China, Islands of Taiwan, Islands of Vietnam
Hapi	Egyptian gods and goddesses
Begoña Basauri	1982 births, Living people, People from Antofagasta Region, Chilean television actors, Chilean movie actors, Chilean stage actors
Urðarbrunnr	Places in Norse mythology
Mario Party 5	2003 video games, Nintendo GameCube games, Mario Party games, Nintendo GameCube-only games, Party video games, Board games
Trace Cyrus	1989 births, American singer-songwriters, American guitarists, Living people, Singers from Kentucky, Musicians from Kentucky, Musicians from California, Singers from California
Jason Collins	1978 births, African-American basketball players, Atlanta Hawks players, Basketball players from California, Boston Celtics players, Gay men, LGBT African Americans, LGBT people from California, LGBT sportspeople, Living people, Los Angeles Clippers players, Memphis Grizzlies players, Minnesota Timberwolves players, New Jersey Nets players, Sportspeople from Los Angeles, California, Washington Wizards players, American basketball players
Valley Forge National Historical Park	National Historical Parks of the United States
Italian neorealism	Movie industry
Martha Greenhouse	1921 births, 2013 deaths, Deaths from natural causes, American movie actors, American television actors, American musical theatre actors, Actors from Omaha, Nebraska
Susan Tyrrell	1945 births, 2012 deaths, American movie actors, American television actors, American stage actors, American voice actors, American painters, Actors from San Francisco, Actors from New York City, Writers from San Francisco, Writers from New York City, Deaths from blood disease
Nicol Williamson	1936 births, 2011 deaths, Actors from Birmingham, Cancer deaths in the Netherlands, Deaths from esophageal cancer, Scottish movie actors, Scottish stage actors, Scottish television actors, Scottish voice actors
Yale Summers	1933 births, 2012 deaths, Actors from New York City, American movie actors, American stage actors, American television actors, American voice actors, Deaths from COPD, Disease-related deaths in the United States
Yvette Wilson	1964 births, 2012 deaths, Deaths from cervical cancer, Deaths from kidney disease, American movie actors, American television actors, American stage actors, American voice actors, Comedians from Los Angeles, California, Actors from Los Angeles, California
Tony Epper	1938 births, 2012 deaths, Actors from Los Angeles, California, American movie actors, American stage actors, American television actors, American voice actors, Cancer deaths in the United States, Stuntmen
Karl Albrecht	1920 births, 2014 deaths, German billionaires, German businesspeople, People from Essen
Liliane Bettencourt	1922 births, 2017 deaths, Businesspeople from Paris, French philanthropists, Socialites
Chill-out music	Music genres
Human Nature (Madonna song)	1994 songs, Pop songs, Madonna songs
Crore	Currency of Asia, Economy of India, Economy of Pakistan, Numbers
Phrenology	Pseudoscience, Neuroscience
Orbital inclination	Orbits
FC Biel-Bienne	Swiss football clubs, 1896 establishments in Europe, Biel/Bienne, Switzerland, 1890s establishments in Switzerland
Catharina-Amalia, Princess of Orange	2003 births, Living people, Dutch royalty, Princesses of Orange, People from The Hague
Nitro compound	Functional groups
Smuggling	Types of crime
André Le Nôtre	French people, 1613 births, 1700 deaths
Karen Doggenweiler	1969 births, Living people, People from Puerto Varas, Chilean journalists, Chilean television presenters
Julio César Rodríguez	Chilean journalists, Chilean television presenters, Living people, 1969 births, People from Bío Bío Region
Dallas (2012 TV series)	2012 American television series debuts, American soap operas, Television series set in Texas, English-language television programs
Televisa	Mass media, Entertainment companies, Economy of Mexico
Inclosure Act 1773	1773, 1770s in the Kingdom of Great Britain, Acts of the Parliament of the United Kingdom
Eric Koston	American skateboarders, Sportspeople from California, 1975 births, Living people, People from San Bernardino, California
Britain's Next Top Model, Cycle 4	Britain's Next Top Model
Leper window	Church architecture, Windows (architecture)
Eurocopter EC120 Colibri	Helicopters, Aviation in France, Germany, German military aircraft, Eurocopter
Women's Rights National Historical Park	National Historical Parks of the United States
Trams in Biel	Tram transport, Transport in Switzerland, Biel/Bienne, Switzerland
Gennevilliers	Communes in Hauts-de-Seine
Renault Master	Front wheel drive vehicles, Buses, Vans, Renault automobiles
Cumberland Gap National Historical Park	National Historical Parks of the United States, Appalachian Mountains
Britain's Next Top Model, Cycle 2	Britain's Next Top Model
Italophilia	Italy
DeWitt Clinton	1769 births, 1828 deaths, Deaths from heart failure, Mayors of New York City, Governors of New York, United States senators from New York, 19th-century American politicians
TV Azteca	Mass media, Entertainment companies, Economy of Mexico
Dulwich College	1619 establishments, Schools in London, 1610s establishments in Europe, 17th century establishments in England
Taurus (constellation)	Constellations, Constellations listed by Ptolemy
The Pink Panther 2	American comedy movies, 2008 movies, Movies directed by Harald Zwart, Movies set in Rome
Boston National Historical Park	National Historical Parks of the United States
Organolithium reagent	Chemical compounds
Bieler Braderie	Festivals in Europe, Biel/Bienne, Switzerland, 1936 establishments in Europe, 20th century establishments in Switzerland, June events
Alba Quezada	1985 births, People from Bío Bío Region, Living people, Chilean models, Chilean television presenters
Begonia	Cucurbitales
Ingrid Cruz	1975 births, People from Antofagasta Region, Living people, Chilean movie actors, Chilean television actors, Chilean stage actors
Lucía Hiriart	1922 births, First Ladies, People from Antofagasta Region, Living people
Carolina Mestrovic	1991 births, People from Arica, Living people, Chilean singers, Chilean television actors, Chilean television presenters
Lissette Sierra	1981 births, People from Arica, Living people, Chilean models
Britain's Next Top Model, Cycle 3	Britain's Next Top Model
Britain & Ireland's Next Top Model (series 7)	British reality television series
Anglo-Zulu War	Wars involving the British Empire, 19th century in South Africa, Resistance to the British Empire
